Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),PERCENTAGE,DISTRIBUTION,distriBUTION count,D DAYS
2-Mar-20,11387.35,11433,11036.25,11132.75,681148567,24204.55,,,,
3-Mar-20,11217.55,11342.25,11152.55,11303.3,696919348,23281.2,1.508851397,0,0,N
4-Mar-20,11351.35,11356.6,11082.15,11251,798021596,26928.46,-0.464847569,0,0,N
5-Mar-20,11306.05,11389.5,11244.6,11269,1353209029,26980.65,0.159730233,0,0,N
6-Mar-20,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29,-2.543803375,0,1,N
9-Mar-20,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79,-5.147611097,1,1,Y
11-Mar-20,10334.3,10545.1,10334,10458.4,1219079693,32548.47,0.06645376,1,0,N
12-Mar-20,10039.95,10040.75,9508,9590.15,1344263317,39283.97,-9.053560163,0,1,N
13-Mar-20,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89,3.666927837,0,0,N
16-Mar-20,9587.8,9602.2,9165.1,9197.4,898523271,29181.8,-8.239285015,1,1,Y
17-Mar-20,9285.4,9403.8,8915.6,8967.05,936185892,28004.16,-2.568849287,0,1,N
18-Mar-20,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71,-5.883360098,0,1,N
19-Mar-20,8063.3,8575.45,7832.55,8263.45,926508824,34274.23,-2.485039542,1,1,Y
20-Mar-20,8284.45,8883,8178.2,8745.45,1072263600,37321.25,5.511437376,0,0,N
23-Mar-20,7945.7,8159.25,7583.6,7610.25,654151814,23891.9,-14.91672415,1,1,Y
24-Mar-20,7848.3,8036.95,7511.1,7801.05,739354439,28282.09,2.445824601,0,0,N
25-Mar-20,7735.15,8376.75,7714.75,8317.85,738114713,28482.01,6.213144022,1,0,N
26-Mar-20,8451,8749.05,8304.9,8641.45,866534643,32228.31,3.744741913,0,0,N
27-Mar-20,8949.1,9038.9,8522.9,8660.25,801923401,31336.86,0.217083802,1,0,N
30-Mar-20,8385.95,8576,8244,8281.1,593953051,24724.44,-4.578498026,1,1,Y
31-Mar-20,8529.35,8678.3,8358,8597.75,713390935,27401.3,3.682940304,0,0,N
1-Apr-20,8584.1,8588.1,8198.35,8253.8,507509685,21307.3,-4.167171485,1,1,Y
3-Apr-20,8356.55,8356.55,8055.8,8083.8,697752438,26561.18,-2.102971375,0,1,N
7-Apr-20,8446.3,8819.4,8360.95,8792.2,815245226,35206.69,8.057141557,0,0,N
8-Apr-20,8688.9,9131.7,8653.9,8748.75,897562690,37641.68,-0.496642377,0,0,N
9-Apr-20,8973.05,9128.35,8904.55,9111.9,743036134,32907.82,3.985447601,1,0,N
13-Apr-20,9103.95,9112.05,8912.4,8993.85,644468815,26749.06,-1.312563585,1,1,Y
15-Apr-20,9196.4,9261.2,8874.1,8925.3,880159358,41878.64,-0.76804141,0,1,N
16-Apr-20,8851.25,9053.75,8821.9,8992.8,720116479,31318.29,0.75060048,1,0,N
17-Apr-20,9323.45,9324,9091.35,9266.75,684910520,33334.73,2.956268379,1,0,N
20-Apr-20,9390.2,9390.85,9230.8,9261.85,726364699,28620.91,-0.052905197,0,0,N
21-Apr-20,9016.95,9044.4,8909.4,8981.45,655122903,28273.89,-3.121990325,1,1,Y
22-Apr-20,9026.75,9209.75,8946.25,9187.3,734383388,33981.82,2.240592993,0,0,N
23-Apr-20,9232.35,9343.6,9170.15,9313.9,666650462,30270.55,1.359258742,1,0,N
24-Apr-20,9163.9,9296.9,9141.3,9154.4,659439249,32859.05,-1.742331556,1,1,Y
27-Apr-20,9259.7,9377.1,9250.35,9282.3,512793298,26696.54,1.377891255,1,0,N
28-Apr-20,9389.8,9404.4,9260,9380.9,614548983,30091.41,1.051071859,0,0,N
29-Apr-20,9408.6,9599.85,9392.35,9553.35,653026950,31673.23,1.805125951,0,0,N
30-Apr-20,9753.5,9889.05,9731.5,9859.9,931173802,39332.46,3.109057901,0,0,N
4-May-20,9533.5,9533.5,9266.95,9293.5,687487134,29785.95,-6.094582235,1,1,Y
5-May-20,9429.4,9450.9,9190.75,9205.6,725196178,29700.2,-0.954853567,0,1,N
6-May-20,9226.8,9346.9,9116.5,9270.9,722185448,30798.1,0.704354486,1,0,N
7-May-20,9234.05,9277.85,9175.9,9199.05,708740416,59705.53,-0.781058914,1,1,Y
8-May-20,9376.95,9382.65,9238.2,9251.5,609053504,30743.45,0.566935092,1,0,N
11-May-20,9348.15,9439.9,9219.95,9239.2,704647074,31048.47,-0.133128409,0,0,N
12-May-20,9168.85,9240.85,9043.95,9196.55,805458787,37706.27,-0.463760867,0,0,N
13-May-20,9584.2,9584.5,9351.1,9383.55,846395245,36488.9,1.992849188,0,0,N
14-May-20,9213.95,9281.1,9119.75,9142.75,602555564,29541.59,-2.633780865,1,1,Y
15-May-20,9182.4,9182.4,9050,9136.85,575857112,25847.33,-0.064573677,1,0,N
18-May-20,9158.3,9158.3,8806.75,8823.25,772983297,33347.46,-3.554245884,0,1,N
19-May-20,8961.7,9030.35,8855.3,8879.1,762152894,32026.94,0.629005192,1,0,N
20-May-20,8889.15,9093.8,8875.35,9066.55,622308140,30721.99,2.067489839,1,0,N
21-May-20,9079.45,9178.55,9056.1,9106.25,631542699,28303.51,0.43596431,0,0,N
22-May-20,9067.9,9149.6,8968.55,9039.25,675759336,31625.47,-0.741211937,0,0,N
26-May-20,9099.75,9161.65,8996.65,9029.05,654959960,30871.59,-0.112968695,1,0,N
27-May-20,9082.2,9334,9004.25,9314.95,763492487,34603.88,3.069259631,0,0,N
28-May-20,9364.95,9511.25,9336.5,9490.1,837911425,37761.91,1.845607528,0,0,N
29-May-20,9422.2,9598.85,9376.9,9580.3,967005438,45006.25,0.941515401,0,0,N
1-Jun-20,9726.85,9931.6,9706.95,9826.15,794183122,38096.92,2.501997222,1,0,N
2-Jun-20,9880.85,9995.6,9824.05,9979.1,770192848,36723.11,1.53270335,1,0,N
3-Jun-20,10108.3,10176.2,10035.55,10061.55,794664422,38343.61,0.819456247,0,0,N
4-Jun-20,10054.25,10123.85,9944.25,10029.1,775106567,36399.04,-0.323558445,1,0,N
5-Jun-20,10093.8,10177.8,10040.75,10142.15,987122302,37824.63,1.114655177,0,0,N
8-Jun-20,10326.75,10328.5,10120.25,10167.45,936485541,37819.06,0.248833287,1,0,N
9-Jun-20,10181.15,10291.15,10021.45,10046.65,754217460,36201.05,-1.202390847,1,1,Y
10-Jun-20,10072.6,10148.75,10036.85,10116.15,632383068,28485.47,0.68702026,1,0,N
11-Jun-20,10094.1,10112.05,9885.05,9902,715453486,30813.85,-2.162694405,0,1,N
12-Jun-20,9544.95,9996.05,9544.35,9972.9,796306399,36505.77,0.710926611,0,0,N
15-Jun-20,9919.35,9943.35,9726.35,9813.7,716053036,31926.65,-1.622221996,1,1,Y
